-6	40	-4
-7	43	4
-8	37	14
-5	26	22
-11	20	29
-5	16	31
-8	8	36
-4	1	37
-9	-7	40
-3	-9	33
-7	-17	38
-3	-25	32
-7	-26	40
-14	-31	37
-6	-37	42
-4	-35	32
-10	-40	33
-6	-46	30
-4	-47	23
-6	-52	11
-21	-53	7
-12	-47	6
-50	-9	14
-63	-12	15
-45	-15	20
-53	-17	18
-59	-17	24
-62	-10	28
-57	-10	22
-49	-13	30
-59	-14	37
-51	-21	33
-54	-18	47
-53	-16	41
-44	-20	38
-43	-19	45
-46	-25	46
-39	-28	40
-40	-33	51
-48	-23	56
-44	-20	55
-36	-27	51
-39	-27	63
-31	-34	56
-32	-28	65
-26	-29	55
-25	-30	67
-22	-34	58
-18	-30	70
-16	-32	59
-15	-37	70
-9	-34	71
-45	-23	23
-39	-33	20
-44	-39	25
-51	-30	19
-58	-24	21
-57	-27	32
-62	-31	28
-54	-35	30
-51	-43	31
-58	-49	26
-57	-49	32
-57	-37	39
-50	-30	35
-44	-35	39
-52	-38	45
-54	-47	38
-48	-48	45
-40	-43	38
-37	-33	36
-30	-37	43
-29	-39	50
-18	-42	59
-14	-48	68
-24	-48	59
-33	-44	54
-35	-45	47
-30	-46	37
-31	-52	52
-33	-50	61
-15	-52	58
-25	-56	58
-26	-51	42
-23	-59	49
-19	-61	60
-12	-66	54
-15	-64	48
-25	-61	42
-20	-61	34
-17	-68	40
-16	-74	45
-19	-83	37
-21	-78	32
-24	-66	26
-24	-76	18
-19	-82	24
-13	-84	29
-49	-53	41
-39	-51	35
-48	-59	41
-42	-63	45
-34	-59	39
-38	-67	42
-31	-70	45
-28	-65	36
-39	-70	39
-33	-78	36
-31	-70	27
31	-77	18
-36	-84	17
-36	-82	24
-38	-75	29
-41	-75	21
-43	-70	16
-42	-66	22
-44	-68	28
-43	-59	33
-50	-56	29
-47	-51	22
-37	-56	26
-39	-54	15
-41	-64	13
-10	-56	55
-11	-47	64
-8	-47	57
-6	-51	51
-15	-44	49
-7	-42	44
-7	-52	45
-13	-48	40
-14	-51	33
-8	-56	26
-3	-65	31
-6	-56	38
-4	-66	39
-7	-62	48
-6	-72	44
-16	-73	38
-18	-69	29
-12	-65	34
-5	-63	24
-16	60	24
-20	-65	24
-17	-59	13
-6	-58	16
-15	-74	25
-5	-83	34
-8	-90	24
-4	-94	15
-2	-86	19
-5	-77	25
-4	-73	21
-14	-66	17
-10	-87	4
-8	-75	8
-13	-77	15
-21	-70	9
-16	-71	12
-5	-71	14
-5	-80	15
-10	-86	11
-12	-93	7
-12	-92	-6
-17	-98	8
-15	-100	-1
-9	-100	6
-11	-98	15
-16	-92	20
-18	-98	8
-23	-96	3
-26	-94	-6
-22	-91	-8
-31	-87	-9
-39	-85	-6
-42	-80	0
-28	-89	1
-34	-84	4
-28	-83	9
-27	-92	13
-26	-86	15
-43	-81	9
-47	-75	10
-43	-72	0
-39	-66	5
-9	-88	-6
-3	-83	1
-16	-79	-4
-9	-77	0
-3	-72	7
-14	-68	-4
-21	-71	0
-26	-56	-3
-20	-62	-3
-12	-62	2
-5	-63	6
-21	-64	4
-21	-52	2
-11	-54	1
-14	-49	-1
-26	-49	-1
-27	-74	-1
-31	-78	-5
-40	-74	-8
-39	-70	-3
-42	-66	-11
-31	-67	-9
-32	-54	-6
-29	-59	-7
